model,condition,lag_after_first_error,at_risk,recovery_events,censored,recovery_hazard,survival_unrecovered,cumulative_recovery
claude-opus-4-8,TrajectoryOnly,5,207,46,96,0.222222,0.457186,0.542814
claude-opus-4-8,TrajectoryOnly,6,65,19,42,0.292308,0.323547,0.676453
claude-opus-4-8,TrajectoryOnly,7,4,4,0,1.0,0.0,1.0
claude-opus-4-8,YokedRandom,0,466,0,0,0.0,1.0,0.0
claude-opus-4-8,YokedRandom,1,466,150,0,0.321888,0.678112,0.321888
claude-opus-4-8,YokedRandom,2,316,62,1,0.196203,0.545064,0.454936
claude-opus-4-8,YokedRandom,3,253,44,10,0.173913,0.450271,0.549729
claude-opus-4-8,YokedRandom,4,199,35,52,0.175879,0.371077,0.628923
claude-opus-4-8,YokedRandom,5,112,14,57,0.125,0.324693,0.675307
claude-opus-4-8,YokedRandom,6,41,3,36,0.073171,0.300935,0.699065
claude-opus-4-8,YokedRandom,7,2,0,2,0.0,0.300935,0.699065
claude-opus-4-8,WSLSBudgeted,0,496,0,0,0.0,1.0,0.0
claude-opus-4-8,WSLSBudgeted,1,496,139,0,0.280242,0.719758,0.280242
claude-opus-4-8,WSLSBudgeted,2,357,153,0,0.428571,0.41129,0.58871
claude-opus-4-8,WSLSBudgeted,3,204,0,11,0.0,0.41129,0.58871
claude-opus-4-8,WSLSBudgeted,4,193,0,76,0.0,0.41129,0.58871
claude-opus-4-8,WSLSBudgeted,5,117,0,66,0.0,0.41129,0.58871
claude-opus-4-8,WSLSBudgeted,6,51,0,41,0.0,0.41129,0.58871
claude-opus-4-8,WSLSBudgeted,7,10,0,10,0.0,0.41129,0.58871
claude-opus-4-8,WSLSUnlimited,0,572,0,0,0.0,1.0,0.0
claude-opus-4-8,WSLSUnlimited,1,572,233,0,0.407343,0.592657,0.407343
claude-opus-4-8,WSLSUnlimited,2,339,252,0,0.743363,0.152098,0.847902
claude-opus-4-8,WSLSUnlimited,3,87,0,0,0.0,0.152098,0.847902
claude-opus-4-8,WSLSUnlimited,4,87,0,26,0.0,0.152098,0.847902
claude-opus-4-8,WSLSUnlimited,5,61,0,39,0.0,0.152098,0.847902
claude-opus-4-8,WSLSUnlimited,6,22,0,21,0.0,0.152098,0.847902
claude-opus-4-8,WSLSUnlimited,7,1,0,1,0.0,0.152098,0.847902
claude-opus-4-8,OracleFull,0,438,0,5,0.0,1.0,0.0
claude-opus-4-8,OracleFull,1,433,63,71,0.145497,0.854503,0.145497
claude-opus-4-8,OracleFull,2,299,299,0,1.0,0.0,1.0
claude-sonnet-5,RawLLM,0,454,0,2,0.0,1.0,0.0
claude-sonnet-5,RawLLM,1,452,15,0,0.033186,0.966814,0.033186
claude-sonnet-5,RawLLM,2,437,0,0,0.0,0.966814,0.033186
claude-sonnet-5,RawLLM,3,437,1,14,0.002288,0.964602,0.035398
claude-sonnet-5,RawLLM,4,422,1,148,0.00237,0.962316,0.037684
claude-sonnet-5,RawLLM,5,273,0,149,0.0,0.962316,0.037684
claude-sonnet-5,RawLLM,6,124,0,113,0.0,0.962316,0.037684
claude-sonnet-5,RawLLM,7,11,0,11,0.0,0.962316,0.037684
claude-sonnet-5,RuleBlindFull,0,481,0,2,0.0,1.0,0.0
claude-sonnet-5,RuleBlindFull,1,479,155,0,0.323591,0.676409,0.323591
claude-sonnet-5,RuleBlindFull,2,324,66,2,0.203704,0.538622,0.461378
claude-sonnet-5,RuleBlindFull,3,256,20,10,0.078125,0.496542,0.503458
claude-sonnet-5,RuleBlindFull,4,226,15,73,0.066372,0.463586,0.536414
claude-sonnet-5,RuleBlindFull,5,138,5,76,0.036232,0.446789,0.553211
claude-sonnet-5,RuleBlindFull,6,57,7,44,0.122807,0.39192,0.60808
claude-sonnet-5,RuleBlindFull,7,6,0,6,0.0,0.39192,0.60808
claude-sonnet-5,NoVeto,0,461,0,2,0.0,1.0,0.0
claude-sonnet-5,NoVeto,1,459,21,0,0.045752,0.954248,0.045752
claude-sonnet-5,NoVeto,2,438,114,0,0.260274,0.705882,0.294118
claude-sonnet-5,NoVeto,3,324,8,12,0.024691,0.688453,0.311547
claude-sonnet-5,NoVeto,4,304,1,108,0.003289,0.686189,0.313811
claude-sonnet-5,NoVeto,5,195,0,106,0.0,0.686189,0.313811
claude-sonnet-5,NoVeto,6,89,0,82,0.0,0.686189,0.313811
claude-sonnet-5,NoVeto,7,7,0,7,0.0,0.686189,0.313811
claude-sonnet-5,TrajectoryOnly,0,641,0,46,0.0,1.0,0.0
